beta,maximum,scen
0.05,0.137342,1
0.055,0.135693,1
0.06,0.134034,1
0.065,0.132433,1
0.07,0.130815,1
0.075,0.129182,1
0.08,0.127533,1
0.085,0.125871,1
0.09,0.124224,1
0.095,0.122602,1
0.1,0.120967,1
0.105,0.119318,1
0.11,0.117657,1
0.115,0.115986,1
0.12,0.114358,1
0.125,0.112722,1
0.13,0.111075,1
0.135,0.109417,1
0.14,0.107751,1
0.145,0.106107,1
0.15,0.104473,1
0.155,0.10283,1
0.16,0.10118,1
0.165,0.0995241,1
0.17,0.0978755,1
0.175,0.0962487,1
0.18,0.0946163,1
0.185,0.0929796,1
0.19,0.0913398,1
0.195,0.0896982,1
0.2,0.088084,1
0.205,0.0864698,1
0.21,0.0848546,1
0.215,0.0832397,1
0.22,0.0816264,1
0.225,0.0800203,1
0.23,0.0784341,1
0.235,0.0768506,1
0.24,0.0752712,1
0.245,0.0736969,1
0.25,0.0721291,1
0.255,0.0705688,1
0.26,0.0690203,1
0.265,0.0674883,1
0.27,0.0659652,1
0.275,0.0644523,1
0.28,0.0629501,1
0.285,0.0614605,1
0.29,0.059984,1
0.295,0.0585218,1
0.3,0.0570745,1
0.305,0.0556432,1
0.31,0.0542287,1
0.315,0.0528316,1
0.32,0.0514528,1
0.325,0.0500928,1
0.33,0.0487524,1
0.335,0.0474385,1
0.34,0.0461473,1
0.345,0.0448776,1
0.35,0.0436304,1
0.355,0.0424168,1
0.36,0.0412258,1
0.365,0.0400671,1
0.37,0.0389358,1
0.375,0.0378411,1
0.38,0.0386837,1
0.385,0.0400694,1
0.39,0.0414962,1
0.395,0.0429611,1
0.4,0.0444638,1
0.405,0.0459968,1
0.41,0.0475546,1
0.415,0.049131,1
0.42,0.0507285,1
0.425,0.0523468,1
0.43,0.0539681,1
0.435,0.0556006,1
0.44,0.0572416,1
0.445,0.0588691,1
0.45,0.0605161,1
0.455,0.0621412,1
0.46,0.0637685,1
0.465,0.0653801,1
0.47,0.0669779,1
0.475,0.0685659,1
0.48,0.0701252,1
0.485,0.0716813,1
0.49,0.0731939,1
0.495,0.0747117,1
0.05,0.0689712,3
0.055,0.0686056,3
0.06,0.0682411,3
0.065,0.0678776,3
0.07,0.0675152,3
0.075,0.0671538,3
0.08,0.0667935,3
0.085,0.066434,3
0.09,0.0660758,3
0.095,0.0657189,3
0.1,0.0653629,3
0.105,0.065008,3
0.11,0.0646542,3
0.115,0.0643015,3
0.12,0.0639499,3
0.125,0.0635995,3
0.13,0.063252,3
0.135,0.0629108,3
0.14,0.0625707,3
0.145,0.0622317,3
0.15,0.0618939,3
0.155,0.0615572,3
0.16,0.0612216,3
0.165,0.0608872,3
0.17,0.0605539,3
0.175,0.0602218,3
0.18,0.0598908,3
0.185,0.0595609,3
0.19,0.0592322,3
0.195,0.0589047,3
0.2,0.058578,3
0.205,0.0582528,3
0.21,0.0579289,3
0.215,0.057606,3
0.22,0.0572843,3
0.225,0.0569677,3
0.23,0.0566559,3
0.235,0.0563453,3
0.24,0.0560358,3
0.245,0.0557275,3
0.25,0.0554203,3
0.255,0.0551143,3
0.26,0.0548094,3
0.265,0.0545057,3
0.27,0.0542031,3
0.275,0.0539017,3
0.28,0.0536015,3
0.285,0.0533024,3
0.29,0.0530045,3
0.295,0.0527077,3
0.3,0.0524121,3
0.305,0.0521205,3
0.31,0.051835,3
0.315,0.0515507,3
0.32,0.0512675,3
0.325,0.0509854,3
0.33,0.0507044,3
0.335,0.0504246,3
0.34,0.0501459,3
0.345,0.0498679,3
0.35,0.0495914,3
0.355,0.0493161,3
0.36,0.0490418,3
0.365,0.0487687,3
0.37,0.0484967,3
0.375,0.0482259,3
0.38,0.0479608,3
0.385,0.0481749,3
0.39,0.0485108,3
0.395,0.0488572,3
0.4,0.049202,3
0.405,0.049545,3
0.41,0.049886,3
0.415,0.0502358,3
0.42,0.0505879,3
0.425,0.0509381,3
0.43,0.0512863,3
0.435,0.0516335,3
0.44,0.0519925,3
0.445,0.0523497,3
0.45,0.0527048,3
0.455,0.0530577,3
0.46,0.0534111,3
0.465,0.0537747,3
0.47,0.0541363,3
0.475,0.0544958,3
0.48,0.0548529,3
0.485,0.0552084,3
0.49,0.0555764,3
0.495,0.0559427,3
